	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGrocs_with_names-2dock_mol121	-46.273659	-37.185608	-9.088051	-9.088051
2hoj_LIGrocs_with_names-2dock_mol122	3.589325	-37.980984	41.570309	41.570309
2hoj_LIGrocs_with_names-2dock_mol123	7.472130	-28.560104	36.032234	36.032234
2hoj_LIGrocs_with_names-2dock_mol124	-12.353037	-30.725309	18.372272	18.372272
2hoj_LIGrocs_with_names-2dock_mol125	-41.917027	-32.523571	-9.393455	-9.393455
2hoj_LIGrocs_with_names-2dock_mol126	0.978310	-33.018082	33.996391	33.996391
2hoj_LIGrocs_with_names-2dock_mol127	-21.327656	-43.108612	21.780956	21.780956
2hoj_LIGrocs_with_names-2dock_mol128	-14.906010	-34.765335	19.859325	19.859325
2hoj_LIGrocs_with_names-2dock_mol129	10.884193	-24.011723	34.895916	34.895916
2hoj_LIGrocs_with_names-2dock_mol130	-14.358948	-34.249184	19.890236	19.890236
2hoj_LIGrocs_with_names-2dock_mol131	2.207352	-41.718643	43.925995	43.925995
2hoj_LIGrocs_with_names-2dock_mol132	13.866795	-16.164892	30.031687	30.031687
2hoj_LIGrocs_with_names-2dock_mol133	4.309032	-48.416504	52.725536	52.725536
2hoj_LIGrocs_with_names-2dock_mol134	3.219112	-42.052994	45.272106	45.272106
2hoj_LIGrocs_with_names-2dock_mol135	8.697186	-37.693539	46.390724	46.390724
2hoj_LIGrocs_with_names-2dock_mol136	-42.030037	-34.967918	-7.062117	-7.062117
2hoj_LIGrocs_with_names-2dock_mol137	-43.126404	-33.146088	-9.980318	-9.980318
2hoj_LIGrocs_with_names-2dock_mol138	3.362675	-38.723473	42.086147	42.086147
2hoj_LIGrocs_with_names-2dock_mol139	-17.115692	-39.008194	21.892502	21.892502
2hoj_LIGrocs_with_names-2dock_mol140	3.382828	-42.128304	45.511131	45.511131
2hoj_LIGrocs_with_names-2dock_mol141	-14.988678	-34.497742	19.509064	19.509064
2hoj_LIGrocs_with_names-2dock_mol142	25.190651	-43.270187	68.460838	68.460838
2hoj_LIGrocs_with_names-2dock_mol143	6.311455	-34.586201	40.897655	40.897655
2hoj_LIGrocs_with_names-2dock_mol144	-45.705086	-35.321255	-10.383833	-10.383833
2hoj_LIGrocs_with_names-2dock_mol145	9.292542	-30.826576	40.119118	40.119118
2hoj_LIGrocs_with_names-2dock_mol146	-14.842102	-38.542870	23.700768	23.700768
2hoj_LIGrocs_with_names-2dock_mol147	-12.312927	-29.962816	17.649889	17.649889
2hoj_LIGrocs_with_names-2dock_mol148	-3.082695	-29.520760	26.438065	26.438065
2hoj_LIGrocs_with_names-2dock_mol149	-16.107437	-35.071430	18.963993	18.963993
2hoj_LIGrocs_with_names-2dock_mol150	-14.086182	-32.586479	18.500298	18.500298
2hoj_LIGrocs_with_names-2dock_mol151	-67.569214	-33.830811	-33.738403	-33.738403
2hoj_LIGrocs_with_names-2dock_mol152	-13.547047	-33.306190	19.759144	19.759144
2hoj_LIGrocs_with_names-2dock_mol153	5.120216	-40.579571	45.699787	45.699787
2hoj_LIGrocs_with_names-2dock_mol154	-51.277218	-48.393021	-2.884196	-2.884196
2hoj_LIGrocs_with_names-2dock_mol155	-20.483932	-41.307526	20.823593	20.823593
2hoj_LIGrocs_with_names-2dock_mol156	3.129601	-38.827362	41.956963	41.956963
2hoj_LIGrocs_with_names-2dock_mol157	-46.023396	-37.828228	-8.195168	-8.195168
2hoj_LIGrocs_with_names-2dock_mol158	-15.937901	-40.942436	25.004536	25.004536
2hoj_LIGrocs_with_names-2dock_mol159	-22.454975	-47.305233	24.850258	24.850258
2hoj_LIGrocs_with_names-2dock_mol160	-15.126095	-39.777546	24.651451	24.651451
2hoj_LIGrocs_with_names-2dock_mol161	3.988155	-34.143307	38.131462	38.131462
2hoj_LIGrocs_with_names-2dock_mol162	-16.679304	-40.958252	24.278948	24.278948
2hoj_LIGrocs_with_names-2dock_mol163	31.406597	-2.299759	33.706356	33.706356
2hoj_LIGrocs_with_names-2dock_mol164	-16.526600	-36.663292	20.136692	20.136692
2hoj_LIGrocs_with_names-2dock_mol165	-14.305750	-33.496834	19.191084	19.191084
2hoj_LIGrocs_with_names-2dock_mol166	-18.221663	-41.640247	23.418585	23.418585
2hoj_LIGrocs_with_names-2dock_mol167	-40.682312	-36.818680	-3.863631	-3.863631
2hoj_LIGrocs_with_names-2dock_mol168	1.319977	-40.501190	41.821167	41.821167
2hoj_LIGrocs_with_names-2dock_mol169	-14.968275	-37.291332	22.323057	22.323057
2hoj_LIGrocs_with_names-2dock_mol170	9.711166	-37.657192	47.368359	47.368359
2hoj_LIGrocs_with_names-2dock_mol171	-14.537796	-36.948494	22.410698	22.410698
2hoj_LIGrocs_with_names-2dock_mol172	3.494434	-44.014423	47.508858	47.508858
2hoj_LIGrocs_with_names-2dock_mol173	-21.938595	-48.472939	26.534344	26.534344
2hoj_LIGrocs_with_names-2dock_mol174	14.378462	-29.947390	44.325851	44.325851
2hoj_LIGrocs_with_names-2dock_mol175	-13.682671	-37.471008	23.788338	23.788338
2hoj_LIGrocs_with_names-2dock_mol176	-23.742426	-44.278618	20.536192	20.536192
2hoj_LIGrocs_with_names-2dock_mol177	-99.651314	-37.389435	-62.261879	-62.261879
2hoj_LIGrocs_with_names-2dock_mol178	31.885094	-0.777863	32.662956	32.662956
2hoj_LIGrocs_with_names-2dock_mol179	-101.495186	-34.195442	-67.299744	-67.299744
2hoj_LIGrocs_with_names-2dock_mol180	-16.029398	-34.240360	18.210962	18.210962
