	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol101	-23.696873	-44.359612	20.662739	7.871151
2hoj_LIGfilip-balloon_mol102	-29.377707	-46.657314	17.279608	13.929571
2hoj_LIGfilip-balloon_mol103	12.950798	-30.686867	43.637665	4.756114
2hoj_LIGfilip-balloon_mol104	-50.049358	-43.336327	-6.713032	8.390985
2hoj_LIGfilip-balloon_mol105	-61.263420	-45.436306	-15.827114	6.557848
2hoj_LIGfilip-balloon_mol106	-23.775476	-41.915676	18.140200	2.537882
2hoj_LIGfilip-balloon_mol107	-50.176083	-34.487957	-15.688126	6.434616
2hoj_LIGfilip-balloon_mol108	-0.574322	-46.598053	46.023731	10.527966
2hoj_LIGfilip-balloon_mol109	-47.201447	-40.649006	-6.552443	7.031096
2hoj_LIGfilip-balloon_mol110	-17.127026	-37.947140	20.820114	2.071146
2hoj_LIGfilip-balloon_mol111	10.053879	-33.555294	43.609173	5.006351
2hoj_LIGfilip-balloon_mol112	3.348175	-40.595139	43.943314	6.897122
2hoj_LIGfilip-balloon_mol113	-51.362633	-47.833267	-3.529366	7.242908
2hoj_LIGfilip-balloon_mol114	-20.090754	-37.964539	17.873785	8.982418
2hoj_LIGfilip-balloon_mol115	-49.332783	-40.860172	-8.472610	14.457750
2hoj_LIGfilip-balloon_mol116	-73.002625	-35.418736	-37.583885	7.884435
2hoj_LIGfilip-balloon_mol117	-21.027348	-42.637775	21.610428	6.100327
2hoj_LIGfilip-balloon_mol118	-78.340866	-44.126591	-34.214275	2.663112
2hoj_LIGfilip-balloon_mol119	-21.352221	-41.149445	19.797224	5.849988
2hoj_LIGfilip-balloon_mol120	-7.470287	-45.095287	37.625000	12.274742
2hoj_LIGfilip-balloon_mol121	-49.951416	-40.134132	-9.817282	11.658081
2hoj_LIGfilip-balloon_mol122	-4.410275	-47.983219	43.572945	10.183154
2hoj_LIGfilip-balloon_mol123	-3.031269	-39.179245	36.147976	14.050926
2hoj_LIGfilip-balloon_mol124	-20.725430	-42.591057	21.865627	4.653918
2hoj_LIGfilip-balloon_mol125	-50.837021	-33.934872	-16.902149	7.833042
2hoj_LIGfilip-balloon_mol126	-13.090755	-48.530098	35.439342	6.942744
2hoj_LIGfilip-balloon_mol127	-27.101547	-47.258724	20.157177	6.773174
2hoj_LIGfilip-balloon_mol128	-20.819328	-35.959053	15.139726	5.016799
2hoj_LIGfilip-balloon_mol129	1.527771	-42.097775	43.625546	6.823762
2hoj_LIGfilip-balloon_mol130	-25.571112	-43.570881	17.999769	7.327281
2hoj_LIGfilip-balloon_mol131	-3.522655	-47.641029	44.118374	7.100719
2hoj_LIGfilip-balloon_mol132	7.495293	-26.875057	34.370350	3.399222
2hoj_LIGfilip-balloon_mol133	-8.249466	-41.736561	33.487095	8.808725
2hoj_LIGfilip-balloon_mol134	-9.563471	-34.379520	24.816050	4.282685
2hoj_LIGfilip-balloon_mol135	3.841675	-42.398670	46.240345	20.194845
2hoj_LIGfilip-balloon_mol136	-46.479179	-33.614578	-12.864603	6.789129
2hoj_LIGfilip-balloon_mol137	-50.600201	-40.492462	-10.107739	4.927827
2hoj_LIGfilip-balloon_mol138	-7.177971	-52.270958	45.092987	10.400105
2hoj_LIGfilip-balloon_mol139	-17.431196	-40.881649	23.450453	10.677869
2hoj_LIGfilip-balloon_mol140	-11.744389	-52.284710	40.540321	9.427328
2hoj_LIGfilip-balloon_mol141	-20.380951	-38.791290	18.410339	5.328801
2hoj_LIGfilip-balloon_mol142	17.140732	-48.529327	65.670059	10.558122
2hoj_LIGfilip-balloon_mol143	1.250576	-41.358799	42.609375	10.757146
2hoj_LIGfilip-balloon_mol144	-47.205017	-41.259518	-5.945498	4.694229
2hoj_LIGfilip-balloon_mol145	1.309208	-40.654335	41.963543	9.152473
2hoj_LIGfilip-balloon_mol146	-19.667997	-41.160355	21.492357	3.213970
2hoj_LIGfilip-balloon_mol147	-16.289978	-38.551746	22.261768	6.297535
2hoj_LIGfilip-balloon_mol148	-3.483337	-39.796028	36.312691	10.883254
2hoj_LIGfilip-balloon_mol149	-18.184130	-39.238216	21.054087	5.701362
2hoj_LIGfilip-balloon_mol150	-16.616455	-36.664165	20.047710	9.539665
2hoj_LIGfilip-balloon_mol151	-76.213028	-40.254795	-35.958233	8.942690
2hoj_LIGfilip-balloon_mol152	-17.770628	-37.749069	19.978441	4.923229
2hoj_LIGfilip-balloon_mol153	2.854675	-32.636765	35.491440	9.744729
2hoj_LIGfilip-balloon_mol154	-54.143532	-47.162567	-6.980966	11.235532
2hoj_LIGfilip-balloon_mol155	-32.843380	-50.420162	17.576782	5.851593
2hoj_LIGfilip-balloon_mol156	-1.243340	-42.749462	41.506123	6.242888
2hoj_LIGfilip-balloon_mol157	-51.948780	-42.927368	-9.021411	6.214831
2hoj_LIGfilip-balloon_mol158	-26.391245	-44.634834	18.243589	8.654102
2hoj_LIGfilip-balloon_mol159	-33.773548	-53.739628	19.966080	8.801381
2hoj_LIGfilip-balloon_mol160	-23.439291	-42.108532	18.669241	4.438243
2hoj_LIGfilip-balloon_mol161	-0.797997	-47.487854	46.689857	17.987083
2hoj_LIGfilip-balloon_mol162	-20.235962	-38.065960	17.829998	4.663458
2hoj_LIGfilip-balloon_mol163				
2hoj_LIGfilip-balloon_mol164	-23.886345	-42.848743	18.962399	3.313313
2hoj_LIGfilip-balloon_mol165	-19.951828	-38.343594	18.391766	10.751787
2hoj_LIGfilip-balloon_mol166	-22.551920	-44.216763	21.664843	12.557191
2hoj_LIGfilip-balloon_mol167	-46.273602	-35.952560	-10.321041	6.081057
2hoj_LIGfilip-balloon_mol168	-0.261276	-43.776257	43.514980	14.526119
2hoj_LIGfilip-balloon_mol169	-21.702087	-42.106220	20.404133	8.128616
2hoj_LIGfilip-balloon_mol170	5.003033	-41.362251	46.365284	6.376276
2hoj_LIGfilip-balloon_mol171	-20.134350	-39.040051	18.905701	6.439511
2hoj_LIGfilip-balloon_mol172	-0.710117	-44.377766	43.667648	5.060022
2hoj_LIGfilip-balloon_mol173	-28.450089	-46.919441	18.469353	11.058311
2hoj_LIGfilip-balloon_mol174	5.919086	-38.907978	44.827065	8.355339
2hoj_LIGfilip-balloon_mol175	-17.446655	-35.947098	18.500443	4.299387
2hoj_LIGfilip-balloon_mol176	-29.507919	-49.577709	20.069790	13.194236
2hoj_LIGfilip-balloon_mol177	-106.058250	-40.209564	-65.848686	6.251698
2hoj_LIGfilip-balloon_mol178				
2hoj_LIGfilip-balloon_mol179	-106.109451	-38.518311	-67.591141	9.413423
2hoj_LIGfilip-balloon_mol180	-20.781261	-40.951382	20.170120	4.445684
2hoj_LIGfilip-balloon_mol181	-0.282536	-38.315590	38.033054	3.489476
2hoj_LIGfilip-balloon_mol182	-105.984459	-40.270691	-65.713768	6.580445
2hoj_LIGfilip-balloon_mol183	-37.995438	-53.195637	15.200200	15.111696
2hoj_LIGfilip-balloon_mol184	-50.628334	-41.223888	-9.404447	8.044243
2hoj_LIGfilip-balloon_mol185	-21.865829	-38.536289	16.670460	6.622765
2hoj_LIGfilip-balloon_mol186	-22.075344	-40.088657	18.013313	6.688879
2hoj_LIGfilip-balloon_mol187	-77.871597	-44.902775	-32.968822	7.906038
2hoj_LIGfilip-balloon_mol188				
2hoj_LIGfilip-balloon_mol189	-24.327452	-42.142090	17.814638	4.653998
2hoj_LIGfilip-balloon_mol190	-0.923939	-40.435291	39.511353	5.476536
2hoj_LIGfilip-balloon_mol191	-27.990231	-49.001179	21.010948	15.425138
2hoj_LIGfilip-balloon_mol192	-18.908510	-41.046265	22.137754	4.323489
2hoj_LIGfilip-balloon_mol193	3.476089	-38.216785	41.692875	3.661284
2hoj_LIGfilip-balloon_mol194	-15.671993	-35.041725	19.369732	7.360352
2hoj_LIGfilip-balloon_mol195	-75.716454	-34.368172	-41.348282	6.659994
2hoj_LIGfilip-balloon_mol196	-80.536728	-38.894005	-41.642723	13.905024
2hoj_LIGfilip-balloon_mol197	-48.110222	-36.685123	-11.425097	5.969764
2hoj_LIGfilip-balloon_mol198	-52.187557	-47.405098	-4.782460	14.634788
2hoj_LIGfilip-balloon_mol199	-7.827953	-43.033939	35.205986	12.057832
2hoj_LIGfilip-balloon_mol200	-25.157169	-43.851204	18.694035	6.607634
2hoj_LIGfilip-balloon_mol201	-24.533718	-38.740459	14.206740	7.870356
2hoj_LIGfilip-balloon_mol202	6.530842	-36.816910	43.347752	12.909279
2hoj_LIGfilip-balloon_mol203	-17.371685	-37.650867	20.279182	13.530274
2hoj_LIGfilip-balloon_mol204	24.361404	-17.500370	41.861774	8.465314
2hoj_LIGfilip-balloon_mol205	-81.210510	-45.744987	-35.465519	3.368087
2hoj_LIGfilip-balloon_mol206	4.047558	-46.503498	50.551056	3.017277
2hoj_LIGfilip-balloon_mol207	-21.789507	-41.238224	19.448717	9.418526
2hoj_LIGfilip-balloon_mol208	-74.791512	-33.603271	-41.188240	9.062001
2hoj_LIGfilip-balloon_mol209	-80.068054	-45.439888	-34.628166	5.145603
2hoj_LIGfilip-balloon_mol210	-55.750343	-45.481838	-10.268507	6.464072
2hoj_LIGfilip-balloon_mol211	-0.780373	-41.018402	40.238029	12.999333
2hoj_LIGfilip-balloon_mol212	-9.589184	-48.389851	38.800667	14.575573
2hoj_LIGfilip-balloon_mol213	-45.021416	-35.319424	-9.701993	6.282249
2hoj_LIGfilip-balloon_mol214	-32.839577	-50.477531	17.637955	8.402448
2hoj_LIGfilip-balloon_mol215	3.132248	-42.257183	45.389431	6.347754
2hoj_LIGfilip-balloon_mol216	-22.896631	-42.845482	19.948851	8.472260
2hoj_LIGfilip-balloon_mol217	-107.242279	-36.474430	-70.767853	5.536164
2hoj_LIGfilip-balloon_mol218	2.481667	-43.243221	45.724888	7.262732
