	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-openbabel_mol180	-14.697701	-34.022617	19.324917	19.324917
2hoj_LIGfilip-openbabel_mol181	7.645443	-33.371593	41.017036	41.017036
2hoj_LIGfilip-openbabel_mol182	-98.246353	-31.689262	-66.557091	-66.557091
2hoj_LIGfilip-openbabel_mol183	-2.794056	-35.313358	32.519302	32.519302
2hoj_LIGfilip-openbabel_mol184	-45.868004	-44.625294	-1.242709	-1.242709
2hoj_LIGfilip-openbabel_mol185	-14.376186	-38.324993	23.948807	23.948807
2hoj_LIGfilip-openbabel_mol186	-14.224211	-38.611748	24.387537	24.387537
2hoj_LIGfilip-openbabel_mol187	-73.321854	-41.027405	-32.294449	-32.294449
2hoj_LIGfilip-openbabel_mol188	49.226604	-1.201872	50.428474	50.428474
2hoj_LIGfilip-openbabel_mol189	-13.065437	-32.956593	19.891155	19.891155
2hoj_LIGfilip-openbabel_mol190	10.270153	-37.617832	47.887985	47.887985
2hoj_LIGfilip-openbabel_mol191	-21.263725	-41.059731	19.796005	19.796005
2hoj_LIGfilip-openbabel_mol192	-15.350367	-34.829693	19.479326	19.479326
2hoj_LIGfilip-openbabel_mol193	6.269382	-20.795864	27.065247	27.065247
2hoj_LIGfilip-openbabel_mol194	-11.628706	-35.429352	23.800646	23.800646
2hoj_LIGfilip-openbabel_mol195	-68.715645	-29.565042	-39.150600	-39.150600
2hoj_LIGfilip-openbabel_mol196	-72.541939	-31.391897	-41.150043	-41.150043
2hoj_LIGfilip-openbabel_mol197	-45.680294	-33.368244	-12.312049	-12.312049
2hoj_LIGfilip-openbabel_mol198	-51.659924	-42.566513	-9.093411	-9.093411
2hoj_LIGfilip-openbabel_mol199	2.199142	-44.320663	46.519806	46.519806
2hoj_LIGfilip-openbabel_mol200	-16.804056	-36.583317	19.779261	19.779261
2hoj_LIGfilip-openbabel_mol201	-17.876083	-37.253418	19.377335	19.377335
2hoj_LIGfilip-openbabel_mol202	9.283463	-38.696598	47.980061	47.980061
2hoj_LIGfilip-openbabel_mol203	-12.427637	-33.127846	20.700209	20.700209
2hoj_LIGfilip-openbabel_mol204	31.076141	-20.208706	51.284847	51.284847
2hoj_LIGfilip-openbabel_mol205	-73.677803	-34.009556	-39.668247	-39.668247
2hoj_LIGfilip-openbabel_mol206	5.095688	-40.890610	45.986298	45.986298
2hoj_LIGfilip-openbabel_mol207	-10.547138	-32.843166	22.296028	22.296028
2hoj_LIGfilip-openbabel_mol208	-69.358780	-30.518970	-38.839809	-38.839809
2hoj_LIGfilip-openbabel_mol209	-79.152878	-43.551678	-35.601196	-35.601196
2hoj_LIGfilip-openbabel_mol210	-46.134281	-38.292027	-7.842256	-7.842256
2hoj_LIGfilip-openbabel_mol211	3.578026	-45.047478	48.625504	48.625504
2hoj_LIGfilip-openbabel_mol212	-1.815392	-40.898479	39.083088	39.083088
2hoj_LIGfilip-openbabel_mol213	-47.007401	-29.986113	-17.021286	-17.021286
2hoj_LIGfilip-openbabel_mol214	-19.721394	-42.581978	22.860584	22.860584
2hoj_LIGfilip-openbabel_mol215	8.210663	-36.452335	44.662998	44.662998
2hoj_LIGfilip-openbabel_mol216	-18.254190	-33.936436	15.682245	15.682245
2hoj_LIGfilip-openbabel_mol217	-103.682755	-33.783611	-69.899139	-69.899139
2hoj_LIGfilip-openbabel_mol218	6.799648	-36.747448	43.547096	43.547096
2hoj_LIGfilip-openbabel_mol219	-14.870016	-33.210545	18.340528	18.340528
2hoj_LIGfilip-openbabel_mol220	4.796329	-42.699287	47.495617	47.495617
2hoj_LIGfilip-openbabel_mol221	-28.236971	-45.886311	17.649340	17.649340
2hoj_LIGfilip-openbabel_mol222	-22.586700	-44.637177	22.050476	22.050476
2hoj_LIGfilip-openbabel_mol223	-14.105101	-36.965031	22.859930	22.859930
2hoj_LIGfilip-openbabel_mol224	-14.863411	-34.937332	20.073921	20.073921
2hoj_LIGfilip-openbabel_mol225	-22.346766	-47.401440	25.054674	25.054674
2hoj_LIGfilip-openbabel_mol226	-17.484249	-37.255989	19.771740	19.771740
2hoj_LIGfilip-openbabel_mol227	3.403145	-40.434597	43.837742	43.837742
2hoj_LIGfilip-openbabel_mol228	-68.659500	-32.508018	-36.151485	-36.151485
2hoj_LIGfilip-openbabel_mol229	-17.394394	-33.894714	16.500320	16.500320
2hoj_LIGfilip-openbabel_mol230	-18.862209	-39.155811	20.293602	20.293602
