	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol133	2.193497	-40.430435	42.623932	42.623932
2hoj_LIGfilip-balloon_mol134	-3.556183	-43.380974	39.824791	39.824791
2hoj_LIGfilip-balloon_mol135	8.416557	-41.659054	50.075611	50.075611
2hoj_LIGfilip-balloon_mol136	-41.968891	-30.125788	-11.843103	-11.843103
2hoj_LIGfilip-balloon_mol137	-43.953224	-31.744436	-12.208788	-12.208788
2hoj_LIGfilip-balloon_mol138	1.653126	-43.795818	45.448944	45.448944
2hoj_LIGfilip-balloon_mol139	-13.824039	-36.409592	22.585552	22.585552
2hoj_LIGfilip-balloon_mol140	-0.792698	-41.182178	40.389481	40.389481
2hoj_LIGfilip-balloon_mol141	-17.659534	-37.854591	20.195057	20.195057
2hoj_LIGfilip-balloon_mol142	26.229126	-35.753254	61.982380	61.982380
2hoj_LIGfilip-balloon_mol143	8.734577	-37.409008	46.143585	46.143585
2hoj_LIGfilip-balloon_mol144	-42.943512	-33.362785	-9.580727	-9.580727
2hoj_LIGfilip-balloon_mol145	9.001099	-28.636406	37.637505	37.637505
2hoj_LIGfilip-balloon_mol146	-12.945436	-32.388645	19.443209	19.443209
2hoj_LIGfilip-balloon_mol147	-12.173002	-35.269772	23.096769	23.096769
2hoj_LIGfilip-balloon_mol148	-0.685415	-32.296131	31.610716	31.610716
2hoj_LIGfilip-balloon_mol149	-15.062382	-36.521072	21.458691	21.458691
2hoj_LIGfilip-balloon_mol150	-14.491062	-33.881233	19.390171	19.390171
2hoj_LIGfilip-balloon_mol151	-69.172096	-34.061867	-35.110229	-35.110229
2hoj_LIGfilip-balloon_mol152	-14.520098	-37.720566	23.200468	23.200468
2hoj_LIGfilip-balloon_mol153	7.251808	-39.146633	46.398441	46.398441
2hoj_LIGfilip-balloon_mol154	-49.170891	-47.445839	-1.725052	-1.725052
2hoj_LIGfilip-balloon_mol155	-20.596832	-39.854794	19.257961	19.257961
2hoj_LIGfilip-balloon_mol156	1.412354	-41.560730	42.973083	42.973083
2hoj_LIGfilip-balloon_mol157	-46.890114	-37.436501	-9.453611	-9.453611
2hoj_LIGfilip-balloon_mol158	-19.342897	-39.218239	19.875341	19.875341
2hoj_LIGfilip-balloon_mol159	-23.518440	-43.639755	20.121315	20.121315
2hoj_LIGfilip-balloon_mol160	-13.927797	-32.421764	18.493967	18.493967
2hoj_LIGfilip-balloon_mol161	2.374706	-36.481796	38.856503	38.856503
2hoj_LIGfilip-balloon_mol162	-16.286669	-38.738968	22.452299	22.452299
2hoj_LIGfilip-balloon_mol163	30.668215	-0.557511	31.225725	31.225725
2hoj_LIGfilip-balloon_mol164	-18.427471	-38.195927	19.768456	19.768456
2hoj_LIGfilip-balloon_mol165	-17.304144	-36.459351	19.155207	19.155207
2hoj_LIGfilip-balloon_mol166	-15.662888	-40.441238	24.778351	24.778351
2hoj_LIGfilip-balloon_mol167	-41.453590	-29.650801	-11.802792	-11.802792
2hoj_LIGfilip-balloon_mol168	7.263855	-37.943390	45.207245	45.207245
2hoj_LIGfilip-balloon_mol169	-20.433426	-40.710426	20.277000	20.277000
2hoj_LIGfilip-balloon_mol170	9.711689	-39.180473	48.892162	48.892162
2hoj_LIGfilip-balloon_mol171	-15.733488	-38.671894	22.938406	22.938406
2hoj_LIGfilip-balloon_mol172	5.443485	-38.564857	44.008343	44.008343
2hoj_LIGfilip-balloon_mol173	-22.023558	-43.767872	21.744314	21.744314
2hoj_LIGfilip-balloon_mol174	12.076332	-37.910904	49.987236	49.987236
2hoj_LIGfilip-balloon_mol175	-13.591017	-33.827061	20.236044	20.236044
2hoj_LIGfilip-balloon_mol176	-22.557453	-46.718517	24.161064	24.161064
2hoj_LIGfilip-balloon_mol177	-101.377563	-35.932076	-65.445488	-65.445488
2hoj_LIGfilip-balloon_mol178	29.579910	-34.591942	64.171852	64.171852
2hoj_LIGfilip-balloon_mol179	-97.642387	-32.922424	-64.719963	-64.719963
2hoj_LIGfilip-balloon_mol180	-11.718390	-32.368069	20.649679	20.649679
2hoj_LIGfilip-balloon_mol181	7.637707	-35.204124	42.841831	42.841831
2hoj_LIGfilip-balloon_mol182	-99.209473	-35.487720	-63.721756	-63.721756
2hoj_LIGfilip-balloon_mol183	-26.951218	-46.575253	19.624035	19.624035
2hoj_LIGfilip-balloon_mol184	-48.276718	-39.051308	-9.225412	-9.225412
2hoj_LIGfilip-balloon_mol185	-13.432840	-37.749832	24.316992	24.316992
2hoj_LIGfilip-balloon_mol186	-15.442543	-35.747562	20.305019	20.305019
2hoj_LIGfilip-balloon_mol187	-76.238457	-40.781910	-35.456547	-35.456547
2hoj_LIGfilip-balloon_mol188	46.991974	-0.741734	47.733707	47.733707
2hoj_LIGfilip-balloon_mol189	-14.782078	-39.465710	24.683632	24.683632
2hoj_LIGfilip-balloon_mol190	7.590801	-36.414772	44.005573	44.005573
2hoj_LIGfilip-balloon_mol191	-24.552269	-48.374191	23.821922	23.821922
2hoj_LIGfilip-balloon_mol192	-13.654984	-34.936291	21.281307	21.281307
2hoj_LIGfilip-balloon_mol193	10.370653	-25.462431	35.833084	35.833084
2hoj_LIGfilip-balloon_mol194	-10.668247	-35.290684	24.622437	24.622437
2hoj_LIGfilip-balloon_mol195	-69.953224	-32.916454	-37.036770	-37.036770
2hoj_LIGfilip-balloon_mol196	-72.623192	-30.279676	-42.343517	-42.343517
2hoj_LIGfilip-balloon_mol197	-45.109890	-29.502670	-15.607220	-15.607220
2hoj_LIGfilip-balloon_mol198	-49.731560	-44.301594	-5.429966	-5.429966
2hoj_LIGfilip-balloon_mol199	2.837887	-20.175365	23.013252	23.013252
2hoj_LIGfilip-balloon_mol200	-15.898991	-35.923737	20.024746	20.024746
2hoj_LIGfilip-balloon_mol201	-19.615557	-33.706131	14.090574	14.090574
2hoj_LIGfilip-balloon_mol202	11.220478	-35.201881	46.422359	46.422359
2hoj_LIGfilip-balloon_mol203	-11.776075	-32.601814	20.825739	20.825739
2hoj_LIGfilip-balloon_mol204	32.605171	-28.725126	61.330296	61.330296
2hoj_LIGfilip-balloon_mol205	-75.015022	-41.553486	-33.461536	-33.461536
2hoj_LIGfilip-balloon_mol206	5.718449	-38.672398	44.390846	44.390846
2hoj_LIGfilip-balloon_mol207	-13.505558	-37.089882	23.584324	23.584324
2hoj_LIGfilip-balloon_mol208	-73.118362	-31.186623	-41.931736	-41.931736
2hoj_LIGfilip-balloon_mol209	-74.570984	-39.516010	-35.054970	-35.054970
2hoj_LIGfilip-balloon_mol210	-49.936668	-48.900032	-1.036638	-1.036638
2hoj_LIGfilip-balloon_mol211	5.253960	-35.191803	40.445763	40.445763
2hoj_LIGfilip-balloon_mol212	4.888416	-43.754242	48.642658	48.642658
2hoj_LIGfilip-balloon_mol213	-43.265926	-34.422943	-8.842983	-8.842983
2hoj_LIGfilip-balloon_mol214	-21.334175	-44.328838	22.994663	22.994663
2hoj_LIGfilip-balloon_mol215	5.309265	-41.982750	47.292015	47.292015
2hoj_LIGfilip-balloon_mol216	-17.156549	-35.640232	18.483683	18.483683
2hoj_LIGfilip-balloon_mol217	-102.498070	-33.016983	-69.481087	-69.481087
2hoj_LIGfilip-balloon_mol218	4.744694	-38.599445	43.344139	43.344139
2hoj_LIGfilip-balloon_mol219	-14.480598	-32.883415	18.402817	18.402817
2hoj_LIGfilip-balloon_mol220	5.384899	-33.099972	38.484871	38.484871
2hoj_LIGfilip-balloon_mol221	-21.887341	-40.457275	18.569935	18.569935
2hoj_LIGfilip-balloon_mol222	-21.419226	-43.092392	21.673166	21.673166
2hoj_LIGfilip-balloon_mol223	-17.109341	-41.415211	24.305870	24.305870
2hoj_LIGfilip-balloon_mol224	-15.029921	-40.517277	25.487356	25.487356
2hoj_LIGfilip-balloon_mol225	-24.503408	-38.183250	13.679842	13.679842
2hoj_LIGfilip-balloon_mol226	-15.677700	-34.693607	19.015907	19.015907
2hoj_LIGfilip-balloon_mol227	3.388309	-38.274979	41.663288	41.663288
2hoj_LIGfilip-balloon_mol228	-69.332855	-33.327381	-36.005470	-36.005470
2hoj_LIGfilip-balloon_mol229	-21.078035	-38.682270	17.604235	17.604235
2hoj_LIGfilip-balloon_mol230	-21.517830	-42.553551	21.035721	21.035721
2hoj_LIGfilip-balloon_mol231	11.420658	-19.954060	31.374718	31.374718
2hoj_LIGfilip-balloon_mol232	-51.333443	-42.747200	-8.586241	-8.586241
2hoj_LIGfilip-balloon_mol233	-16.685131	-37.891357	21.206226	21.206226
2hoj_LIGfilip-balloon_mol234	-16.665062	-37.990761	21.325699	21.325699
2hoj_LIGfilip-balloon_mol235	-14.675079	-37.184296	22.509216	22.509216
2hoj_LIGfilip-balloon_mol236	-12.016130	-38.302418	26.286287	26.286287
2hoj_LIGfilip-balloon_mol237	-12.255327	-29.896605	17.641277	17.641277
2hoj_LIGfilip-balloon_mol238	-15.360493	-33.071407	17.710915	17.710915
2hoj_LIGfilip-balloon_mol239	-16.332571	-37.316475	20.983904	20.983904
2hoj_LIGfilip-balloon_mol240	-23.071226	-45.515827	22.444601	22.444601
2hoj_LIGfilip-balloon_mol241	-13.320143	-35.541935	22.221792	22.221792
2hoj_LIGfilip-balloon_mol242	-66.881790	-36.487381	-30.394413	-30.394413
2hoj_LIGfilip-balloon_mol243	8.160004	-25.790634	33.950638	33.950638
2hoj_LIGfilip-balloon_mol244	-1.733715	-49.207207	47.473492	47.473492
2hoj_LIGfilip-balloon_mol245	5.147243	-40.937874	46.085117	46.085117
2hoj_LIGfilip-balloon_mol246	-13.082157	-35.043858	21.961700	21.961700
2hoj_LIGfilip-balloon_mol247	-44.105526	-25.996046	-18.109480	-18.109480
2hoj_LIGfilip-balloon_mol248	-97.283890	-36.492352	-60.791542	-60.791542
2hoj_LIGfilip-balloon_mol249	-13.714171	-29.499113	15.784942	15.784942
2hoj_LIGfilip-balloon_mol250	-45.710876	-41.145477	-4.565397	-4.565397
2hoj_LIGfilip-balloon_mol251	-16.284830	-36.798580	20.513750	20.513750
2hoj_LIGfilip-balloon_mol252	-18.999062	-41.356060	22.356998	22.356998
2hoj_LIGfilip-balloon_mol253	10.052315	-34.953983	45.006298	45.006298
2hoj_LIGfilip-balloon_mol254	-1.871914	-35.859112	33.987198	33.987198
2hoj_LIGfilip-balloon_mol255	-66.954391	-30.958836	-35.995560	-35.995560
2hoj_LIGfilip-balloon_mol256	-40.863300	-33.737488	-7.125813	-7.125813
2hoj_LIGfilip-balloon_mol257	9.651142	-21.990540	31.641682	31.641682
2hoj_LIGfilip-balloon_mol258	-24.486864	-42.149853	17.662989	17.662989
2hoj_LIGfilip-balloon_mol259	6.146305	-25.335690	31.481995	31.481995
2hoj_LIGfilip-balloon_mol260	-71.367599	-36.477802	-34.889801	-34.889801
2hoj_LIGfilip-balloon_mol261	-37.234058	-35.428169	-1.805887	-1.805887
2hoj_LIGfilip-balloon_mol262	-70.844788	-36.473713	-34.371078	-34.371078
2hoj_LIGfilip-balloon_mol263	-14.522997	-36.518063	21.995066	21.995066
2hoj_LIGfilip-balloon_mol264	-72.835098	-36.528481	-36.306614	-36.306614
2hoj_LIGfilip-balloon_mol265	-19.556086	-45.152245	25.596159	25.596159
2hoj_LIGfilip-balloon_mol266	-13.048588	-33.297016	20.248428	20.248428
2hoj_LIGfilip-balloon_mol267	-21.666878	-41.700905	20.034027	20.034027
2hoj_LIGfilip-balloon_mol268	-25.532652	-47.716232	22.183580	22.183580
2hoj_LIGfilip-balloon_mol269	10.948431	-27.695986	38.644417	38.644417
2hoj_LIGfilip-balloon_mol270	-38.482872	-39.152977	0.670106	0.670106
2hoj_LIGfilip-balloon_mol271	-45.214325	-42.919449	-2.294876	-2.294876
2hoj_LIGfilip-balloon_mol272	1.094910	-41.286243	42.381153	42.381153
2hoj_LIGfilip-balloon_mol273	-97.415230	-33.261818	-64.153412	-64.153412
2hoj_LIGfilip-balloon_mol274	-75.328247	-36.653057	-38.675190	-38.675190
2hoj_LIGfilip-balloon_mol275	-67.407944	-30.100113	-37.307831	-37.307831
2hoj_LIGfilip-balloon_mol276	11.482052	-34.113018	45.595070	45.595070
2hoj_LIGfilip-balloon_mol277	-14.855995	-38.086937	23.230942	23.230942
2hoj_LIGfilip-balloon_mol278	-16.782761	-39.603436	22.820675	22.820675
2hoj_LIGfilip-balloon_mol279	-10.164457	-35.040474	24.876017	24.876017
2hoj_LIGfilip-balloon_mol280	-16.043732	-40.232288	24.188557	24.188557
2hoj_LIGfilip-balloon_mol281	-98.655342	-31.925920	-66.729424	-66.729424
2hoj_LIGfilip-balloon_mol282	-49.624508	-47.503277	-2.121231	-2.121231
2hoj_LIGfilip-balloon_mol283	-5.770775	-41.350433	35.579659	35.579659
2hoj_LIGfilip-balloon_mol284	-44.358574	-43.860058	-0.498516	-0.498516
2hoj_LIGfilip-balloon_mol285	0.972153	-41.357258	42.329411	42.329411
2hoj_LIGfilip-balloon_mol286	-72.760422	-37.188591	-35.571835	-35.571835
2hoj_LIGfilip-balloon_mol287	3.446941	-49.352661	52.799603	52.799603
2hoj_LIGfilip-balloon_mol288	-49.599678	-41.546936	-8.052743	-8.052743
2hoj_LIGfilip-balloon_mol289	7.015194	-37.133854	44.149048	44.149048
2hoj_LIGfilip-balloon_mol290	12.155109	-37.716320	49.871429	49.871429
2hoj_LIGfilip-balloon_mol291	-23.196077	-41.720432	18.524355	18.524355
2hoj_LIGfilip-balloon_mol292	-71.856094	-38.615368	-33.240726	-33.240726
2hoj_LIGfilip-balloon_mol293	23.889160	-24.912910	48.802071	48.802071
2hoj_LIGfilip-balloon_mol294	6.902445	-23.166943	30.069387	30.069387
2hoj_LIGfilip-balloon_mol295	-13.911886	-37.435684	23.523798	23.523798
2hoj_LIGfilip-balloon_mol296	-19.626450	-40.971676	21.345226	21.345226
2hoj_LIGfilip-balloon_mol297	-71.278038	-36.530540	-34.747498	-34.747498
2hoj_LIGfilip-balloon_mol298	-13.730478	-37.119320	23.388842	23.388842
2hoj_LIGfilip-balloon_mol299	-13.819328	-33.787132	19.967804	19.967804
2hoj_LIGfilip-balloon_mol300	-12.530891	-31.839048	19.308157	19.308157
2hoj_LIGfilip-balloon_mol301	-69.842010	-36.170086	-33.671928	-33.671928
2hoj_LIGfilip-balloon_mol302	-12.497540	-29.120792	16.623253	16.623253
2hoj_LIGfilip-balloon_mol303	-98.973862	-34.247738	-64.726120	-64.726120
2hoj_LIGfilip-balloon_mol304	8.444962	-33.811985	42.256947	42.256947
2hoj_LIGfilip-balloon_mol305	-21.371746	-47.678352	26.306606	26.306606
2hoj_LIGfilip-balloon_mol306	-77.802475	-38.669476	-39.132999	-39.132999
2hoj_LIGfilip-balloon_mol307	-70.241936	-29.925133	-40.316803	-40.316803
2hoj_LIGfilip-balloon_mol308	-72.232643	-34.988075	-37.244568	-37.244568
2hoj_LIGfilip-balloon_mol309	-61.959267	-32.910572	-29.048693	-29.048693
2hoj_LIGfilip-balloon_mol310	7.390476	-36.285378	43.675854	43.675854
2hoj_LIGfilip-balloon_mol311	-65.662857	-32.797401	-32.865456	-32.865456
2hoj_LIGfilip-balloon_mol312	-71.111832	-34.938198	-36.173634	-36.173634
2hoj_LIGfilip-balloon_mol313	-25.105431	-47.580662	22.475231	22.475231
2hoj_LIGfilip-balloon_mol314	9.937519	-36.098564	46.036083	46.036083
2hoj_LIGfilip-balloon_mol315	-63.796577	-28.667559	-35.129017	-35.129017
2hoj_LIGfilip-balloon_mol316	12.052036	-33.790989	45.843025	45.843025
2hoj_LIGfilip-balloon_mol317	-67.346146	-32.001461	-35.344681	-35.344681
2hoj_LIGfilip-balloon_mol318	-70.972733	-35.659096	-35.313637	-35.313637
2hoj_LIGfilip-balloon_mol319	-69.347191	-37.131107	-32.216084	-32.216084
2hoj_LIGfilip-balloon_mol320	1.965874	-45.809181	47.775055	47.775055
2hoj_LIGfilip-balloon_mol321	8.104849	-23.278280	31.383129	31.383129
2hoj_LIGfilip-balloon_mol322	8.585079	-34.000217	42.585297	42.585297
2hoj_LIGfilip-balloon_mol323	24.382248	-34.351589	58.733837	58.733837
2hoj_LIGfilip-balloon_mol324	2.104401	-50.573578	52.677979	52.677979
2hoj_LIGfilip-balloon_mol325	-10.826736	-34.545135	23.718399	23.718399
2hoj_LIGfilip-balloon_mol326	-12.434551	-30.463242	18.028690	18.028690
2hoj_LIGfilip-balloon_mol327	-16.780632	-38.877728	22.097095	22.097095
2hoj_LIGfilip-balloon_mol328	-70.161453	-35.707104	-34.454353	-34.454353
2hoj_LIGfilip-balloon_mol329	-68.215958	-33.690075	-34.525887	-34.525887
2hoj_LIGfilip-balloon_mol330	-42.804539	-33.977432	-8.827106	-8.827106
